
( 0.000000 ) 	 [9]
( 39.048447 ) 	 [9897]

( 39.048447 ) 	 [9913]

( 39.048450 ) 	 [9929]

( 39.048447 ) 	 [9945]

( 39.048450 ) 	 [9961]

( 39.048447 ) 	 [9977]

( 39.048447 ) 	 [9993]

( 39.048450 ) 	 [10009]

( 39.048466 ) 	 [10025]

( 39.049099 ) 	 [10041]

( 39.049110 ) 	 [10057]

( 39.049118 ) 	 [10073]

( 39.049103 ) 	 [10089]

( 39.049103 ) 	 [10105]

( 39.049103 ) 	 [10121]

( 39.049103 ) 	 [10137]

( 39.049103 ) 	 [10153]

( 39.049103 ) 	 [10169]

( 39.049763 ) 	 [10185]

( 39.049759 ) 	 [10201]

( 39.049759 ) 	 [10217]

( 39.049759 ) 	 [10233]

( 39.049755 ) 	 [10249]

( 39.049755 ) 	 [10265]

( 39.049755 ) 	 [10281]

( 39.049755 ) 	 [10297]

( 39.049755 ) 	 [10313]

( 39.049755 ) 	 [10329]

( 39.049755 ) 	 [10345]

( 39.049770 ) 	 [10361]

( 39.049782 ) 	 [10377]

( 39.050407 ) 	 [10393]

( 39.050423 ) 	 [10409]

( 39.050411 ) 	 [10425]

( 39.050411 ) 	 [10441]

( 39.050411 ) 	 [10457]

( 39.050411 ) 	 [10473]

( 39.050411 ) 	 [10489]

( 39.050411 ) 	 [10505]

( 39.050430 ) 	 [10521]

( 39.051064 ) 	 [10537]

( 39.051083 ) 	 [10553]

( 39.051067 ) 	 [10569]

( 39.051067 ) 	 [10585]

( 39.051067 ) 	 [10601]

( 39.051071 ) 	 [10617]

( 39.051067 ) 	 [10633]

( 39.051067 ) 	 [10649]

( 39.051067 ) 	 [10665]

( 39.051071 ) 	 [10681]

( 39.051071 ) 	 [10697]

( 39.051086 ) 	 [10713]

( 39.051720 ) 	 [10729]

( 39.051731 ) 	 [10745]

( 39.051739 ) 	 [10761]

( 39.051720 ) 	 [10777]

( 39.051720 ) 	 [10793]

( 39.051720 ) 	 [10809]

( 39.051720 ) 	 [10825]

( 39.051720 ) 	 [10841]

( 39.051720 ) 	 [10857]

( 39.052105 ) 	 [10873]

( 39.052151 ) 	 [10889]

( 39.052372 ) 	 [10905]

( 39.052391 ) 	 [10921]

( 39.052376 ) 	 [10937]

( 39.052376 ) 	 [10953]

( 39.052376 ) 	 [10969]

( 39.052380 ) 	 [10985]

( 39.052380 ) 	 [11001]

( 39.052376 ) 	 [11017]

( 39.052376 ) 	 [11033]

( 39.052376 ) 	 [11049]

( 39.052380 ) 	 [11065]

( 39.052399 ) 	 [11081]

( 39.053028 ) 	 [11097]

( 39.053043 ) 	 [11113]

( 39.053028 ) 	 [11129]

( 39.053028 ) 	 [11145]

( 39.053028 ) 	 [11161]

( 39.053028 ) 	 [11177]

( 39.053028 ) 	 [11193]

( 39.053028 ) 	 [11209]

( 39.053047 ) 	 [11225]

( 39.053684 ) 	 [11241]

( 39.053699 ) 	 [11257]

( 39.053684 ) 	 [11273]

( 39.053684 ) 	 [11289]

( 39.053684 ) 	 [11305]

( 39.053688 ) 	 [11321]

( 39.053688 ) 	 [11337]

( 39.053684 ) 	 [11353]

( 39.053684 ) 	 [11369]

( 39.053684 ) 	 [11385]

( 39.053688 ) 	 [11401]

( 39.053707 ) 	 [11417]

( 40.054234 ) 	 [11433]

Latitud [-31.2645493 ]

( 40.054234 ) 	 [11449]

( 40.054234 ) 	 [11465]

( 40.054234 ) 	 [11481]

( 40.054234 ) 	 [11497]

( 39.054337 ) 	 [11513]

( 39.054352 ) 	 [11529]

( 39.054340 ) 	 [11545]

( 39.054340 ) 	 [11561]

( 39.054340 ) 	 [11577]

( 39.054340 ) 	 [11593]

( 39.054340 ) 	 [11609]

( 39.054340 ) 	 [11625]

( 39.054359 ) 	 [11641]

( 39.054993 ) 	 [11657]

( 39.055008 ) 	 [11673]

( 39.054996 ) 	 [11689]

( 39.054996 ) 	 [11705]

( 39.054996 ) 	 [11721]

( 39.055000 ) 	 [11737]

( 39.055000 ) 	 [11753]

( 39.054996 ) 	 [11769]

( 39.054996 ) 	 [11785]

( 39.055000 ) 	 [11801]

( 39.054996 ) 	 [11817]

( 39.055016 ) 	 [11833]

( 39.055649 ) 	 [11849]

( 39.055660 ) 	 [11865]

( 39.055649 ) 	 [11881]

( 39.055649 ) 	 [11897]

( 39.055649 ) 	 [11913]

( 39.055649 ) 	 [11929]

( 39.055649 ) 	 [11945]

( 39.055649 ) 	 [11961]

( 39.055668 ) 	 [11977]

( 39.056301 ) 	 [11993]

( 39.056320 ) 	 [12009]

( 39.056305 ) 	 [12025]

( 39.056305 ) 	 [12041]

( 39.056305 ) 	 [12057]

( 39.056309 ) 	 [12073]

( 39.056305 ) 	 [12089]

( 39.056309 ) 	 [12105]

( 39.056305 ) 	 [12121]

( 39.056305 ) 	 [12137]

( 39.056309 ) 	 [12153]

( 39.056328 ) 	 [12169]

( 39.056957 ) 	 [12185]

( 39.056973 ) 	 [12201]

( 39.056961 ) 	 [12217]

( 39.056961 ) 	 [12233]

( 39.056961 ) 	 [12249]

( 39.056961 ) 	 [12265]
